feature,importance
speed,0.1742261088114811
nmot,0.1675596163696335
speed_per_gear,0.11434751647092298
power_index,0.10255368324950175
speed_rpm_ratio,0.06579887039327999
braking_to_speed,0.06423482307049776
throttle_efficiency,0.062125487754663346
pbrake_r,0.0396519882484769
aps,0.037392792658167376
accx_can,0.029008312639476886
gear,0.026473379450986413
pbrake_f,0.024190870927385828
lateral_to_longitudinal_ratio,0.01767866535298307
total_brake_pressure,0.014549119497948343
total_g_force,0.013076878335613398
brake_balance,0.011731267048368965
Steering_Angle,0.010619196476445514
accy_can,0.009515120094792358
steering_to_lateral_g,0.009249927162374286
abs_steering,0.006016375987000313
