expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,timestamp,vehicle_id,vehicle_number,lap_time_seconds,accx_can,accy_can,aps,gear,nmot,pbrake_f,pbrake_r,speed,Steering_Angle,VBOX_Lat_Min,VBOX_Long_Minutes,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:44:21.642Z,GR86-025-47,0,2025-10-18 12:44:19.177000+00:00,GR86-025-47,47,0.002,-0.2567948642266824,0.1013305785123967,51.65819657615112,1.918240850059032,5091.500699300699,3.446577626918536,3.540394037780401,89.26856345885635,-3.761688311688312,39.79314422607422,-86.23867797851562,,,,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:44:21.701Z,GR86-033-46,0,2025-10-18 12:44:19.520000+00:00,GR86-033-46,46,0.002,0.0280277246653919,-0.0403565965583174,48.22014021669853,1.69980879541109,5258.286377708979,3.924158699808795,4.040342574888464,87.47660990712075,-4.247227533460803,39.79315185546875,-86.23876190185547,,,,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:44:30.414Z,GR86-028-89,0,2025-10-18 12:44:30.116000+00:00,GR86-028-89,89,0.001,0.0030072759022118,-0.1284243306169965,54.046199068684516,1.8722351571594875,5221.108603667137,6.54156868451688,6.638178114086147,90.57223628691985,-6.082275902211874,39.79314804077149,-86.23881530761719,,,,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:44:39.844Z,GR86-037-03,0,2025-10-18 12:44:34.711000+00:00,GR86-037-03,3,0.003,0.039504746120235,-0.1205526593340364,43.10076389935212,2.30299834262468,4731.369318181818,2.8188857917733916,2.876426849480187,90.77534982332156,-5.258234141931596,39.79314422607422,-86.23877716064453,,,,,,,
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.124Z,GR86-006-7,0,2025-10-18 12:46:51.723000+00:00,GR86-006-7,7,161.249,0.0092067901234567,-0.0954778338945005,70.27698933782267,1.8490460157126825,5093.394878706199,7.305973625140292,7.414186307519641,87.58591891891892,-6.246464646464647,39.79314804077149,-86.2386703491211,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:54.905Z,GR86-010-16,0,2025-10-18 12:46:52.769000+00:00,GR86-010-16,16,159.519,0.0158131298589116,-0.1086199251367693,56.06925712640368,1.9372300604664552,5007.476964769648,6.4049524906420965,6.510763029081486,88.0659349593496,-5.052720990498129,39.79315185546875,-86.23869323730469,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:54.898Z,GR86-016-55,0,2025-10-18 12:46:53.892000+00:00,GR86-016-55,55,157.686,0.021260097393297,-0.0816258951589802,52.78693784016041,1.6382125465482669,5396.668049792531,6.419352621025494,6.493861357777141,88.14997241379311,-3.5993411629905467,39.79314041137695,-86.23857879638672,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.160Z,GR86-022-13,0,2025-10-18 12:46:54.856000+00:00,GR86-022-13,13,157.09,0.0259860099096473,-0.1061221218303701,46.23064412707665,1.8157971436898863,5222.146408839779,5.3733124453512096,5.420705333721947,89.18451169188445,-1.979102302535704,39.79313278198242,-86.23878479003906,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.163Z,GR86-025-47,0,2025-10-18 12:46:55.203000+00:00,GR86-025-47,47,155.988,-0.2567948642266824,0.1013305785123967,51.65819657615112,1.918240850059032,5091.500699300699,3.446577626918536,3.540394037780401,89.26856345885635,-3.761688311688312,39.79314422607422,-86.23867797851562,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:56.755Z,GR86-033-46,0,2025-10-18 12:46:56.294000+00:00,GR86-033-46,46,156.773,0.0280277246653919,-0.0403565965583174,48.22014021669853,1.69980879541109,5258.286377708979,3.924158699808795,4.040342574888464,87.47660990712075,-4.247227533460803,39.79315185546875,-86.23876190185547,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.204Z,GR86-002-000,0,2025-10-18 12:46:56.894000+00:00,GR86-002-000,0,156.687,0.014201099537037,-0.1041414930555555,39.48162037037037,1.752025462962963,5312.13006993007,3.139574652777778,3.170403645833334,88.97235543018336,-3.551996527777778,39.79313659667969,-86.23870849609375,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.184Z,GR86-036-98,0,2025-10-18 12:46:57.960000+00:00,GR86-036-98,98,156.47,0.0132090079481895,-0.0945657933470709,38.29569325875773,2.246099499558434,4716.671809256662,2.4198645863997648,2.472225493082131,89.53941422594143,-0.6976155431262879,39.79315185546875,-86.23857116699219,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:46:58.785Z,GR86-065-5,0,2025-10-18 12:46:58.529000+00:00,GR86-065-5,5,155.078,0.0123502161828289,-0.1241343421865349,50.855951204447194,2.271463866584311,4753.723163841808,3.484536751080914,3.429725138974676,90.59235795454543,-6.671093267449042,39.79314804077149,-86.23868560791016,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.782Z,GR86-060-2,0,2025-10-18 12:46:59.239000+00:00,GR86-060-2,2,156.99,0.0046618936294564,-0.1211788427819988,32.033340151957916,1.8465809468147285,5203.148351648351,2.0431954997077733,2.0883080070134428,88.99116918844567,-1.509555815312683,39.79314804077149,-86.23880004882812,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.656Z,GR86-015-31,0,2025-10-18 12:46:59.936000+00:00,GR86-015-31,31,87.403,0.0131471950591868,-0.1237426659804426,42.812537313432834,2.2285126093669585,5503.450248756219,4.646369016984045,4.724014410705095,101.45568578553616,0.1851260936695832,39.79798126220703,-86.23501586914062,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.817Z,GR86-049-88,0,2025-10-18 12:47:00.762000+00:00,GR86-049-88,88,155.032,0.0075269425424233,-0.1169991068770467,56.278922298303065,1.91068770467401,5185.978902953587,5.122588568026199,5.250029770765108,90.7454213483146,-2.439535576064305,39.79315948486328,-86.23873901367188,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.974Z,GR86-047-21,0,2025-10-18 12:47:02.089000+00:00,GR86-047-21,21,155.045,0.0008677233429394,-0.1337706051873199,42.54942939481268,2.178386167146974,4857.909090909091,5.402953890489914,5.465597982708934,90.40555244755244,-3.913602305475505,39.79313659667969,-86.23868560791016,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.961Z,GR86-063-113,0,2025-10-18 12:47:02.531000+00:00,GR86-063-113,113,156.494,0.0078191805225653,-0.1069622921615202,51.66027019002375,1.935273159144893,5102.538247566064,4.8659916864608075,4.928604513064133,89.67734353268429,-5.413895486935867,39.79314041137695,-86.23876190185547,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.473Z,GR86-013-80,0,2025-10-18 12:47:03.270000+00:00,GR86-013-80,80,154.589,0.0160206896551724,-0.1139261494252873,40.768922413793106,2.1522988505747125,4921.793828892006,4.257741379310345,4.3000387931034485,90.8027972027972,-3.956551724137931,39.79313659667969,-86.23884582519531,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.846Z,GR86-040-3,0,2025-10-18 12:47:03.718000+00:00,GR86-040-3,3,149.003,0.039504746120235,-0.1205526593340364,43.10076389935212,2.30299834262468,4731.369318181818,2.8188857917733916,2.876426849480187,90.77534982332156,-5.258234141931596,39.79314422607422,-86.23877716064453,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.843Z,GR86-028-89,0,2025-10-18 12:47:04.449000+00:00,GR86-028-89,89,154.332,0.0030072759022118,-0.1284243306169965,54.046199068684516,1.8722351571594875,5221.108603667137,6.54156868451688,6.638178114086147,90.57223628691985,-6.082275902211874,39.79314804077149,-86.23881530761719,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:10.001Z,GR86-038-93,0,2025-10-18 12:47:04.944000+00:00,GR86-038-93,93,155.976,0.2743960749330954,-0.1383731787094855,48.24381801962533,1.887600356824264,5135.821478382148,4.8671424323520665,4.943595004460303,90.03362622036262,-6.928902765388047,39.79313278198242,-86.23884582519531,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.595Z,GR86-030-18,0,2025-10-18 12:47:05.456000+00:00,GR86-030-18,18,153.81,0.0022700666473485,-0.1152103738046942,33.225940307157344,2.2118226600985222,4852.538028169014,3.015740365111562,3.043297594900029,91.1085633802817,-3.655172413793104,39.79313278198242,-86.23884582519531,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:10.030Z,GR86-035-11,0,2025-10-18 12:47:06.262000+00:00,GR86-035-11,11,153.202,-0.0038823529411764,-0.1385730272596843,31.85157819225251,2.1974175035868004,4888.476056338028,2.334123385939742,2.370164992826399,91.4292957746479,-4.682639885222382,39.79314041137695,-86.23873901367188,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:09.733Z,GR86-037-03,0,2025-10-18 12:47:08.676000+00:00,GR86-037-03,3,4.958,0.039504746120235,-0.1205526593340364,43.10076389935212,2.30299834262468,4731.369318181818,2.8188857917733916,2.876426849480187,90.77534982332156,-5.258234141931596,39.79314422607422,-86.23877716064453,16.45,16.9,76.76,984.5,4.32,194.0,0.0
,1,I_R07_2025-10-19,R1,kafka:gr-cup-raw,2025-10-18T12:47:10.090Z,GR86-057-57,0,2025-10-18 12:47:09.639000+00:00,GR86-057-57,57,154.371,0.0021351116265584,-0.1233598144389678,34.95775877065816,2.5088431429399827,4537.9066478076375,1.9121701942592055,1.970295737895042,91.07659123055164,-7.156799072194839,39.79314041137695,-86.2388687133789,16.45,16.9,76.76,984.5,4.32,194.0,0.0
